NODE_ID,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
EXCHQUER_7_B1,,,,,,,,19.95167988,10.2067095,28.28521456,43.89446168,41.96827556,,,,,,,,,,,,,,,,,,,,,,,,,55.01406708,48.63733868,45.91479401,57.15192818,59.07467617,73.53827593,82.97613239,116.7897245,140.0462869,,,
EXXONBH_7_B2,,,,,,,,33.54083544,35.49874278,37.17984757,42.23174849,40.75883317,,,,,,,,,,,,,,,,,,,,,,,,,54.21166319,48.43124853,47.26616128,67.06752991,70.96784956,76.59185341,74.2694945,99.07109692,124.7849783,,,
EXXONBH_7_N001,,,,,,,,33.54083544,35.49874278,37.17984757,42.23174849,40.75883317,,,,,,,,,,,,,,,,,,,,,,,,,54.21166319,48.43124853,47.26616128,67.06752991,70.96784956,76.59185341,74.2694945,99.07109692,124.7849783,,,
FAIRHAVN_6_N001,,,,,,,,34.87735534,35.94726853,38.11897438,41.86213355,42.04528476,,,,,,,,,,,,,,,,,,,,,,,,,54.75823089,48.95145372,49.80370144,66.85582629,73.9602935,74.83010276,74.59109653,98.44767229,109.3871591,,,
FAIRHAVN_7_B1,,,,,,,,34.64975525,35.69152528,37.91254726,41.65491889,41.82455094,,,,,,,,,,,,,,,,,,,,,,,,,54.75823089,48.95145372,49.8036801,66.85582629,73.9602935,74.83010276,74.59109653,98.44767229,110.8221524,,,
FAIRWAY_1_N001,,,,,,,,33.71634172,35.90131085,36.66573988,43.60056515,41.66146108,,,,,,,,,,,,,,,,,38.42148833,51.47370993,71.02097871,61.2596709,67.58770707,57.7813288,,,54.05420504,44.48652443,43.76069999,59.41039425,61.02016272,74.92424322,78.49136553,104.7583152,126.0640142,,,
FAIRWAY_1_N002,,,,,,,,33.71634172,35.90131085,36.66573988,43.60056515,41.66146108,,,,,,,,,,,,,34.35636526,62.92006957,33.58507044,34.02991393,30.62442058,51.47370993,71.02097871,61.2596709,67.58770707,59.04570503,58.36055183,62.6270564,54.05420504,44.48652443,43.76069999,59.41039425,61.02016272,74.92424322,78.49136553,104.7583152,126.0640142,,,
FAMOSO_1_N001,,,,,,,,34.29487304,35.36793679,34.83772495,41.8498584,40.06827378,,,,,,,,,,,,,32.58524544,59.84494036,32.74624653,31.12282985,27.5196737,48.11792844,67.73427551,57.96924079,63.98366133,55.65222577,55.56870662,60.66513298,51.38606726,42.87558332,42.13120217,57.63871559,61.259896,86.73206572,74.10509397,102.3961889,128.0529741,,,
FAMOSO_6_N008,,,,,,,,34.164444,35.56888431,35.25421273,42.46338956,40.5921571,,,,,,,,,,,,,33.1999505,61.02452217,32.53569187,30.59251326,27.91788946,48.42620464,66.71488281,58.43332566,64.4130544,55.88637228,55.72216026,60.46977874,51.25565057,42.72250208,41.87574796,57.23064774,60.12760433,80.60998524,76.92791706,105.0296776,126.2413937,,,
FARREL_1_N001,,,,,,,,33.34168892,32.88464601,29.45739415,24.32908259,22.10525103,,,,,,,,,,,,,25.79179871,60.89362522,19.89987055,29.92220814,28.26535569,50.03583386,68.41640472,59.79898603,67.57347206,56.80318431,56.05214485,58.35693665,51.61811025,42.98167679,41.38719364,56.79458868,58.8325584,69.50667957,75.02073443,105.0919357,126.0505007,,,
