,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022
2C559EQ2_7_N001,,,,,,,,13.0777060562812,14.963144373673261,16.838178242458678,15.312984108980432,10.141579731044207,9.403463933255786,10.027287468795793,10.580422048151158,12.052435052667697,12.6569846122071,13.378975167533714,11.707287870245207,91.02356700428724,45.528786779722964,34.66120625002749,14.946852934830586,13.089932267051008,10.50404844906311,101.05486879323361,14.182489293801359,17.496446280112288,18.318074462991042,35.356268057649736,57.11353694035465,23.630529156737158,31.089880772034732,22.97645791714387,19.463613029823314,19.564027411994562,,,,,,,,,,,,
ADCC_2_N001,,,,,,,,12.699754436106193,14.635581573954205,14.821669289906582,14.405722846430509,9.0064245086765,8.585145114186663,9.639425031619385,9.161643484420349,7.2047993826062005,12.615690520729274,13.330232714459083,11.935112934555711,92.92287506867301,44.96872945259446,36.1686690164867,12.816068816966231,11.892973985437106,9.629521455260418,95.98318197625399,13.745633383412821,12.033526569136045,13.226891868035576,36.00360688429583,42.475309842739705,23.63901754557304,30.11814933602882,13.131260725700274,15.074945580248329,16.729004227944735,,,,,,,,,,,,
AEC300_1_N001,,,,,,,,12.736159783726746,14.524133260013425,12.870084612597061,14.240662285489385,8.914290265390857,8.424484864473984,9.596216732266113,10.147038430944024,7.3285742002059715,12.626524295070864,13.472918819474279,11.143713720698582,92.55568237860392,44.77265711202164,35.77826239873924,12.600745846609492,11.827867657127884,9.644150492204345,86.15345440730104,13.849783863233457,11.782066288238253,13.94728696639433,38.65188458842736,42.867599784345934,23.821261301664887,29.947901689384793,13.894918518126602,15.327472522619756,16.755550672024896,,,,,,,,,,,,
AGER_LNODE35,,,,,,,,11.922838525359793,14.088820465953173,14.676281759030397,13.927932581886195,8.43575798429458,8.082171353998607,9.271145467330564,9.000148934755538,7.379102203449853,10.436755477575128,12.452873767653086,11.233085126872046,89.89169807836069,43.67220063637579,25.522551066184672,12.068512886695999,10.65828491430381,9.350909293679715,,,,,,,,,,,,,,,,,,,,,,,
AGNEW_1_N003,,,,,,,,13.263566787794835,15.109446851358635,15.187628060555463,14.762103743093025,9.376386194520634,8.836723126543612,9.901689560899039,9.731156956475091,7.058057574789357,13.494882532254774,14.088950586878177,12.493385111898572,95.78428381067205,46.28397349460501,36.80710469994284,13.28098086035558,12.225054921535156,10.216892654283548,97.42688613578255,14.358619644288833,12.33522411237248,13.784262983561655,31.27477645486051,42.9907806036517,24.06883445353935,31.406398612053554,17.961267650772815,15.351245939234097,19.812323387095006,,,,,,,,,,,,
AGUAMNSA_7_B1,,,,,,,19.233057540320356,13.763506538041751,19.40619634287187,16.2280945730911,17.423063238531917,8.953344751070878,8.203827760136198,9.448460476684792,9.990256536264958,10.939028430631472,12.819024061033309,13.611922943903688,21.549605022463215,186.52221929917422,59.732203299702824,38.330585131034056,15.96067114450071,12.550278047292641,9.184166158748448,120.77892425776139,13.221673537329533,16.066802203366198,16.948645157125345,38.755063151828,43.83295790374676,25.675174789982346,42.44168467123666,21.121772008945936,19.707087276529315,18.503328852710535,17.123231835768895,23.04501628763038,22.381210170954464,32.722589228281095,33.89359650512607,30.85084939416651,30.703331812538547,47.548857964646075,149.2156875291555,,,
AIRPROD_1_N001,,,,,,,16.876543754620855,12.846433249601,15.142600788387513,15.392734021179173,14.163814260194712,9.170306090694094,9.4925493153644,10.100534688303359,11.052690127572253,12.981504349637131,13.114273621390115,13.595109678527308,11.587144691122388,92.4429864574789,46.71842851346379,35.105725028836595,14.73781371067733,13.08471680574305,11.279762756681905,95.31074689927658,14.69442080585011,14.33622741249867,17.19202194677914,35.52218713066853,40.92340046796524,24.360943546413115,30.527566941591196,23.728197588375444,16.33479922502803,17.58289460083051,,,,,,,,,,,,
ALAMITOS_2_N001,,,,,,,,16.14299773522998,21.12790638596517,18.815139838397382,18.14031712745158,12.500342151994372,15.733900100935264,11.717151112796936,10.339861984565353,11.454353673731477,13.584130403899,13.854551873987294,21.67143452317347,188.62719138033128,60.63446827409504,38.966890783762125,16.017443159703102,12.410664233289884,9.962904889896745,122.2959130646395,14.21274961686586,16.078466722416003,16.888867338515272,38.63392774495687,43.527555303714834,25.6896101123225,42.55229412313995,21.19335302470752,19.830216333390673,18.2344535539088,,,,,,,,,,,,
ALAMITOS_2_N040,,,,,,,,16.14299773522998,21.12790638596517,18.815139838397382,18.14031712745158,12.500342151994372,15.733900100935264,11.717151112796936,10.339861984565353,11.454353673731477,13.584130403899,13.854551873987294,21.67143452317347,188.62719138033128,60.63446827409504,38.966890783762125,16.017443159703102,12.410664233289884,9.962904889896745,122.2959130646395,14.21274961686586,16.078466722416003,16.888867338515272,38.63392774495687,43.527555303714834,25.6896101123225,42.55229412313995,21.19335302470752,19.830216333390673,18.2344535539088,,,,,,,,,,,,
ALAMOSC_7_N001,,,,,,,,13.277489079691243,18.2453092769676,16.125548355459014,18.077999868598436,9.222474647035856,8.116370501832947,9.39264211243086,10.235236076540769,11.209318746389224,12.153484960091479,12.936839243548942,20.373493972398766,182.40397456444757,56.936690867031615,37.82123824232118,16.74684577273523,10.909717380316915,8.764893812541823,121.68039697823947,13.353213145179641,15.157737395767317,16.231023791370742,37.1293546237841,42.55606479940366,25.033909133336934,40.81168780370412,20.826532379136648,19.770535006691443,17.52139799900316,,,,,,,,,,,,
