NODE_ID,month_year,MW
AGNEW_1_N003,Jan-21,35.30633912
AGNEW_1_N003,Feb-21,61.93524909
AGNEW_1_N003,Mar-21,34.94991229
AGNEW_1_N003,Apr-21,37.30369883
AGNEW_1_N003,May-21,39.35625277
AGNEW_1_N003,Jun-21,50.85829157
AGNEW_1_N003,Jul-21,69.07828324
AGNEW_1_N003,Aug-21,62.39247906
AGNEW_1_N003,Sep-21,70.39487996
AGNEW_1_N003,Oct-21,70.78199278
AGNEW_1_N003,Nov-21,61.52397774
AGNEW_1_N003,Dec-21,65.36401888
AGUAMNSA_7_B1,Jul-19,41.65089742
AGUAMNSA_7_B1,Aug-19,33.56074056
AGUAMNSA_7_B1,Sep-19,37.12390249
AGUAMNSA_7_B1,Oct-19,36.83758245
AGUAMNSA_7_B1,Nov-19,47.14976168
AGUAMNSA_7_B1,Dec-19,44.83823478
AGUAMNSA_7_B1,Jan-20,35.63137211
AGUAMNSA_7_B1,Feb-20,28.43692347
AGUAMNSA_7_B1,Mar-20,26.14614619
AGUAMNSA_7_B1,Apr-20,20.31312532
AGUAMNSA_7_B1,May-20,18.05861885
AGUAMNSA_7_B1,Jun-20,23.06704001
AGUAMNSA_7_B1,Jul-20,28.79536044
AGUAMNSA_7_B1,Aug-20,79.70575095
AGUAMNSA_7_B1,Sep-20,46.94093492
AGUAMNSA_7_B1,Oct-20,46.49717257
AGUAMNSA_7_B1,Nov-20,40.0309043
AGUAMNSA_7_B1,Dec-20,42.58348497
AGUAMNSA_7_B1,Jan-21,35.20766476
AGUAMNSA_7_B1,Feb-21,67.10951126
AGUAMNSA_7_B1,Mar-21,34.848423
AGUAMNSA_7_B1,Apr-21,31.22934292
AGUAMNSA_7_B1,May-21,29.0270693
AGUAMNSA_7_B1,Jun-21,50.84740822
AGUAMNSA_7_B1,Jul-21,69.37070259
AGUAMNSA_7_B1,Aug-21,60.55354833
AGUAMNSA_7_B1,Sep-21,68.73709451
AGUAMNSA_7_B1,Oct-21,57.52767647
AGUAMNSA_7_B1,Nov-21,57.18904422
