OID_,AREA,NODE_ID,TYPE
147,CA,BERESFRD_6_N002,LOAD
148,CA,BERNARDO_6_N001,LOAD
149,CA,BERNARDO_6_N002,LOAD
150,CA,BERNARDO_6_N009,LOAD
151,CA,BERNARDO_6_N013,LOAD
152,CA,BERNARDO_6_N014,LOAD
153,CA,BERVLLY_6_N001,LOAD
154,CA,BIGBASN_6_N001,LOAD
155,CA,BIGCRK1_7_N001,LOAD
156,CA,BIGMDWS_6_N001,LOAD
157,CA,BIGRIVR_6_N001,LOAD
158,CA,BIOLA_6_N001,LOAD
159,CA,BIOPWR_7_N001,GEN
160,CA,BIXLER_6_N001,LOAD
161,CA,BKRSFLD_2_N001,LOAD
162,CA,BKRSFLD_2_N101,LOAD
163,CA,BLAST_7_N005,GEN
164,CA,BLCH38750_7_B1,GEN
165,CA,BLCH38751_7_B1,GEN
166,CA,BLLEHVN_6_N001,LOAD
167,CA,BLLEHVN_6_N002,LOAD
168,CA,BLLEHVN_6_N004,LOAD
169,CA,BLLEHVN_6_N006,LOAD
170,CA,BLLEHVN_6_N007,LOAD
171,CA,BLLEHVN_6_N009,GEN
172,CA,BLUELKE_6_N001,LOAD
173,CA,BLUSTNPP_6_N003,LOAD
174,CA,BLYTHESC_1_N005,LOAD
175,CA,BNAVSTA_6_N001,LOAD
176,CA,BNAVSTA_6_N002,LOAD
177,CA,BNTACRB_6_N001,LOAD
178,CA,BOGARD_6_N001,LOAD
179,CA,BOGUE_1_N001,LOAD
180,CA,BOGUE_1_N201,LOAD
181,CA,BOLINAS_6_N001,LOAD
182,CA,BOLLMAN_1_N003,LOAD
183,CA,BOLTHSE_1_N009,LOAD
184,CA,BONITA_6_N001,LOAD
185,CA,BONNIEN_7_N001,LOAD
186,CA,BONNIEN_7_N002,GEN
187,CA,BORDEN_2_N007,LOAD
188,CA,BORDEN_2_N008,GEN
189,CA,BORDER_6_N001,LOAD
190,CA,BORDER_6_N008,LOAD
191,CA,BORONDA_6_N001,LOAD
